d1,s1,d2,s2,p1,gene,p2,mut,p3,path,sig
alzheimer_disease,AD,frontotemporal_dementia,FTD,0,remarkable,4.73E-149,remarkable,0,remarkable,3
alzheimer_disease,AD,aphasia,aphasia,6.74E-192,remarkable,,,0,remarkable,2
alzheimer_disease,AD,parkinson_disease,PD,5.30E-62,remarkable,7.08E-12,remarkable,0,remarkable,3
alzheimer_disease,AD,amyotrophic_lateral_sclerosis,ALS,3.23E-13,remarkable,,,0,remarkable,2
alzheimer_disease,AD,muscular_atrophy,MA,0.0003226406386,remarkable,,,0,remarkable,2
alzheimer_disease,AD,dystonia,dystonia,0.003636962354,remarkable,,,0,remarkable,2
amyotrophic_lateral_sclerosis,ALS,frontotemporal_dementia,FTD,0,remarkable,0,remarkable,0,remarkable,3
amyotrophic_lateral_sclerosis,ALS,muscular_atrophy,MA,4.27E-217,remarkable,1.81E-216,remarkable,0,remarkable,3
amyotrophic_lateral_sclerosis,ALS,myopathies,myopathies,5.76E-29,remarkable,,,0,remarkable,2
amyotrophic_lateral_sclerosis,ALS,paraplegia,paraplegia,4.85E-18,remarkable,0.6267989065,not remarkable,0,remarkable,2
amyotrophic_lateral_sclerosis,ALS,polyneuropathy,polyneuropathy,3.75E-11,remarkable,,,0,remarkable,2
amyotrophic_lateral_sclerosis,ALS,parkinson_disease,PD,2.35E-10,remarkable,0.1969332926,not remarkable,0,remarkable,2
amyotrophic_lateral_sclerosis,ALS,muscular_dystrophy,MD,9.58E-05,remarkable,0.02458512983,remarkable,0,remarkable,3
amyotrophic_lateral_sclerosis,ALS,hereditary_ataxia,HA,0.01170616011,not remarkable,,,0,remarkable,1
aphasia,aphasia,frontotemporal_dementia,FTD,1.92E-273,remarkable,,,0,remarkable,2
aphasia,aphasia,parkinson_disease,PD,5.66E-148,remarkable,,,0,remarkable,2
aphasia,aphasia,dystonia,dystonia,3.73E-15,remarkable,,,0,remarkable,2
aphasia,aphasia,epilepsy,epilepsy,4.20E-05,remarkable,1.16E-54,remarkable,0,remarkable,3
cerebral_palsy,CP,tetraplegia,tetraplegia,5.08E-44,remarkable,,,2.85E-276,remarkable,2
cerebral_palsy,CP,epilepsy,epilepsy,0.10544228,not remarkable,,,0,remarkable,1
dystonia,dystonia,parkinson_disease,PD,6.61E-128,remarkable,9.56E-44,remarkable,0,remarkable,3
dystonia,dystonia,hereditary_ataxia,HA,9.94E-119,remarkable,1.23E-71,remarkable,0,remarkable,3
dystonia,dystonia,epilepsy,epilepsy,7.73E-45,remarkable,0.008382603135,remarkable,0,remarkable,3
dystonia,dystonia,paraplegia,paraplegia,1.86E-10,remarkable,,,0,remarkable,2
dystonia,dystonia,frontotemporal_dementia,FTD,0.0004095883889,remarkable,,,0,remarkable,2
dystonia,dystonia,muscular_dystrophy,MD,0.1447387564,not remarkable,,,0,remarkable,1
epilepsy,epilepsy,hereditary_ataxia,HA,3.66E-82,remarkable,4.50E-64,remarkable,0,remarkable,3
epilepsy,epilepsy,migraine,migraine,7.88E-59,remarkable,8.29E-08,remarkable,0,remarkable,3
