g,c,b,e
OR2V2,5,180581942,180582890
LINC00167,11,129872518,129875381
OSTN,3,190930321,190967910
GRHL1,2,10091791,10142412
KIAA1009,6,84833959,84937335
CLEC1A,12,10223079,10251605
SCLY,2,238969564,239008054
POLRMT,19,617222,633568
COMMD3,10,22605311,22609246
TIGD5,8,144680073,144682485
TSG101,11,18501857,18548503
TNFAIP2,14,103592663,103603776
MIR137,1,98511625,98511727
MIR133A1,18,19405658,19405746
MIR132,17,1953201,1953302
CYMP,1,111023387,111033891
UTS2R,17,80332200,80333370
TEAD3,6,35441373,35464861
TEC,4,48137799,48271814
EXOSC4,8,145133521,145135551
LINC00452,13,114598075,114624290
OR3A2,17,3181183,3182268
OR3A1,17,3194928,3195876
OR1D2,17,2995351,2996290
OPHN1,X,67262185,67653299
PRKAR2B,7,106685177,106802256
RBMXL2,11,7110164,7112379
RBM3,X,48432740,48439553
SNPH,20,1246959,1289971
LOC100996634,6,109557816,109591717
RETNLB,3,108474485,108476130
SNORD123,5,9548938,9549026
SNORD105B,19,10220424,10220516
LCN8,9,139648839,139652731
SNORD115-48,15,25514929,25515005
RAET1L,6,150341265,150346668
KAAG1,6,24357130,24358512
RAC2,22,37621300,37640339
GKN2,2,69172363,69180102
NYAP1,7,100081549,100092424
TDH,8,11197145,11225961
ANO4,12,101188373,101522419
FAM229B,6,112408673,112423993
PWRN2,15,24409925,24415053
FUCA1,1,24171571,24194859
CTSF,11,66330934,66336047
MYH13,17,10204182,10276322
ATP1A2,1,160085519,160113374
SERTAD2,2,64858754,64881046
C22orf24,22,32329506,32341336
C2CD4C,19,405442,409170
ATOH1,4,94750077,94751142
RIIAD1,1,151694012,151702082
CXorf30,X,36246895,36403434
GAB4,22,17442826,17489112
ZNF284,19,44576296,44591623
OTUD1,10,23728197,23731310
SIDT2,11,117049938,117068161
SH3TC1,4,8201059,8242830
MIIP,1,12079298,12092106
PCDH20,13,61983818,61989655
RFX7,15,56382730,56535483
GPX7,1,53068042,53074723
SGSM3,22,40766594,40806293
BRPF3,6,36164549,36200567
FCHSD2,11,72547789,72853143
NMUR2,5,151771101,151784840
MCCC1,3,182733005,182817365
ZNF799,19,12500827,12512088
DENR,12,123237370,123255953
DEGS1,1,224370909,224381142
PRPF18,10,13628938,13672868
TCAP,17,37821598,37822807
ONECUT3,19,1753661,1775444
RPL37A,2,217363519,217366188
RPL37,5,40831429,40835387
APOD,3,195295572,195311076
LOXL2,8,23154409,23261722
SFRP5,10,99526507,99531756
EP400,12,132434464,132565011
TDGF1P3,X,109763539,109766249
TYR,11,88911039,89028927
TTR,18,29171729,29178986
RHOA,3,49396578,49449526
ARF6,14,50359735,50363772
CTSD,11,1773981,1785222
ERI1,8,8860313,8890849
DNAJB8,3,128181274,128186091
PNMA1,14,74178485,74181128
CAMK1G,1,209757044,209787284
DDX24,14,94517267,94547558
SLURP1,8,143822361,143823829
KRTAP17-1,17,39471168,39471947
ASPRV1,2,70187223,70189397
PLA2G2E,1,20246799,20250110
KIAA0556,16,27561467,27791692
ZC3HC1,7,129658125,129691233
CCDC174,3,14693252,14714166
OSER1,20,42824580,42839546
ANKRD39,2,97513723,97523756
IL23R,1,67632168,67725650
MORC2,22,31322599,31364187
KIAA0907,1,155882835,155904188
SETD1B,12,122242637,122270562
DSPP,4,88529680,88538025
SETX,9,135136826,135230372
WAPAL,10,88195012,88281541
ABLIM3,5,148521053,148639999
GGA2,16,23474862,23521815
LOC100131825,1,159165774,159172212
GLOD5,X,48620153,48632064
RABIF,1,202847409,202858385
RAB3B,1,52373627,52456436
RAB3A,19,18307610,18314874
PZP,12,9301435,9360966
GOLPH3,5,32124823,32174425
RBKS,2,28004265,28113223
ZNF81,X,47696300,47781655
KIAA0020,9,2804154,2844130
HELZ,17,65066553,65241319
JOSD1,22,39081547,39096459
KIF14,1,200520624,200589862
MAPRE3,2,27193524,27250087
KIF4A,X,69509878,69640774
MAN2A2,15,91447419,91465815
TFPT,19,54610319,54619055
